water.lammps.data (written by ASE) 

360 	 atoms 
2  atom types
0.0                   12.42  xlo xhi
0.0                   12.42  ylo yhi
0.0                   50.00  zlo zhi


Atoms 

    252   2    5.42581 1.83051 33.2688
    253   1    9.48321 12.1376 23.1015
    254   2    8.60215 12.3181 22.8326
    255   2    9.76348 11.3815 22.5632
    256   1    7.10448 9.25163 19.4907
    257   2    6.61076 8.94347 18.6237
    258   2    7.79214 9.87221 19.2134
    259   1    9.85337 4.9893 16.4421
    260   2    9.14496 5.22677 17.0757
    261   2    9.42452 4.36898 15.7876
    262   1    3.18344 12.1339 31.7963
    263   2    3.6984 0.00495754 32.6019
    264   2    3.1105 0.464251 31.1862
    265   1    0.866906 0.51228 14.4647
    266   2    1.78206 0.410689 14.1092
    267   2    0.943285 1.21445 15.1782
    268   1    10.0133 7.1943 22.8608
    269   2    10.1529 6.88792 21.9611
    270   2    10.0052 6.3527 23.33
    271   1    0.123109 8.59866 21.409
    272   2    11.7041 9.086 21.3476
    273   2    0.747872 9.13191 20.9433
    274   1    0.466365 9.84247 29.212
    275   2    1.35335 10.2143 29.4394
    276   2    12.3001 10.6449 29.4585
    277   1    9.45031 7.21986 18.4772
    278   2    8.70651 7.79268 18.9304
    279   2    9.40114 6.42777 19.0337
    280   1    3.72087 4.89474 21.3787
    281   2    3.803 5.41715 22.244
    282   2    2.94428 5.21021 20.812
    283   1    6.39588 10.5482 21.7553
    284   2    6.50706 10.1394 20.8826
    285   2    5.46892 10.2838 22.0094
    286   1    2.69394 1.20176 29.0985
    287   2    3.45511 1.03345 28.4602
    288   2    1.77271 0.966706 28.6259
    289   1    6.91676 5.49304 17.2029
    290   2    6.5643 6.40783 17.2738
    291   2    6.26202 5.13933 16.5295
    292   1    6.79318 9.6786 29.7667
    293   2    6.55387 10.5287 29.3313
    294   2    7.80385 9.71821 29.7608
    295   1    0.596501 5.60455 25.9969
    296   2    0.81325 6.20432 25.2454
    297   2    0.0264081 6.02489 26.6208
    298   1    2.96777 2.00299 20.4486
    299   2    2.71423 2.91997 20.4205
    300   2    3.64958 1.91571 21.1709
    301   1    4.10118 8.85942 24.2858
    302   2    3.93367 8.93725 25.2057
    303   2    5.08073 9.06553 24.3863
    304   1    3.31287 4.39519 28.0865
    305   2    3.86152 4.5548 28.8616
    306   2    2.50941 4.03428 28.4067
    307   1    12.028 0.394666 20.2686
    308   2    0.216372 0.441709 21.0751
    309   2    11.2715 0.885324 20.6486
    310   1    0.816027 2.66245 24.4633
    311   2    1.1352 1.97024 23.7739
    312   2    1.65329 3.14618 24.7936
    313   1    8.97064 3.43001 28.8228
    314   2    9.26847 2.85811 28.0939
    315   2    8.54859 4.15166 28.354
    316   1    7.94644 12.1279 15.6051
    317   2    8.39488 0.182515 16.291
    318   2    7.36985 11.536 16.1151
    319   1    5.21451 2.64264 21.9923
    320   2    4.56259 3.38594 21.9356
    321   2    5.99598 3.21885 22.0471
    322   1    1.56655 4.24035 19.1624
    323   2    0.786337 4.81894 19.2347
    324   2    1.71846 3.99557 18.2681
    325   1    9.06884 4.94689 19.8262
    326   2    9.56803 4.56651 20.5355
    327   2    8.14205 4.95912 20.1953
    328   1    8.62428 2.82867 14.8575
    329   2    8.69104 3.31631 14.0385
    330   2    7.72449 2.52286 15.0438
    331   1    6.89898 9.49458 24.7122
    332   2    7.2893 9.45985 23.863
    333   2    6.87067 10.4328 25.1264
    334   1    3.90831 12.3223 14.0066
    335   2    4.07916 11.3975 14.2492
    336   2    4.49709 0.45126 14.6013
    337   1    8.04093 8.26431 16.0925
    338   2    8.58356 9.10131 16.0655
    339   2    8.67959 7.5866 16.2784
    340   1    0.220956 11.5388 33.645
    341   2    0.00628836 11.2694 34.5002
    342   2    0.725246 10.8016 33.2643
    343   1    1.63521 1.43353 33.7057
    344   2    1.24711 0.58933 33.393
    345   2    1.78493 2.01347 32.8949
    346   1    12.3658 8.38726 34.4103
    347   2    0.208272 8.72054 33.5143
    348   2    11.4297 8.30736 34.2406
    349   1    9.26613 0.900333 18.0489
    350   2    8.69721 1.45591 18.6535
    351   2    10.0074 1.58519 17.8425
    352   1    11.0334 3.65501 20.9687
    353   2    11.8696 4.15132 21.2459
    354   2    10.8035 3.05911 21.7
    355   1    10.9091 9.53225 24.5107
    356   2    11.7828 9.32231 24.9522
    357   2    10.6116 8.78828 23.9627
    358   1    2.43036 6.66611 15.3656
    359   2    2.52851 6.6481 16.358
    360   2    1.44978 6.66491 15.2231
